"S120VC	2000-03-19 01:24:40",,,,"2.262625E-04	51",2.262625E-04
"3.125590E-04	70666",,,,"3.187564E-04	71866","3.187564E-04	"
"3.140429E-04	70966",,,,"3.204289E-04	72166","3.204289E-04	"
"3.156969E-04	71266",,,,"3.219640E-04	72466","3.219640E-04	"
"3.174136E-04	71566",,,,"3.234024E-04	72766","3.234024E-04	"
"3.187564E-04	71866",,,,"3.249340E-04	73066","3.249340E-04	"
"3.204289E-04	72166",,,,"3.265176E-04	73366","3.265176E-04	"
"3.219640E-04	72466",,,,"3.277966E-04	73666","3.277966E-04	"
"3.234024E-04	72766",,,,"3.292992E-04	73966","3.292992E-04	"
"3.249340E-04	73066",,,,"3.315026E-04	74266","3.315026E-04	"
"3.265176E-04	73366",,,,"7.198839E-05	74566","7.198839E-05	"
"3.277966E-04	73666",,,,"5.652930E-06	75430","5.652930E-06	"
"3.292992E-04	73966",,,,"7.630149E-06	75730","7.630149E-06	"
"3.315026E-04	74266",,,,"9.384450E-06	76030","9.384450E-06	"
"7.198839E-05	74566",,,,"1.153905E-05	76330","1.153905E-05	"
"5.652930E-06	75430",,,,"1.334008E-05	76630","1.334008E-05	"
"7.630149E-06	75730",,,,"1.533978E-05	76930","1.533978E-05	"
"9.384450E-06	76030",,,,"1.903661E-05	77507","1.903661E-05	"
"1.153905E-05	76330",,,,"2.112307E-05	77807","2.112307E-05	"
"1.334008E-05	76630",,,,"2.308868E-05	78107","2.308868E-05	"
"1.533978E-05	76930",,,,"2.489211E-05	78408","2.489211E-05	"
"1.903661E-05	77507",,,,"2.712823E-05	78708","2.712823E-05	"
"2.112307E-05	77807",,,,"2.901320E-05	79008","2.901320E-05	"
"2.308868E-05	78107",,,,"3.101902E-05	79308","3.101902E-05	"
"2.489211E-05	78408",,,,"3.283247E-05	79608","3.283247E-05	"
"2.712823E-05	78708",,,,"3.485837E-05	79908","3.485837E-05	"
"2.901320E-05	79008",,,,"3.672962E-05	80208","3.672962E-05	"
"3.101902E-05	79308",,,,"3.861972E-05	80508","3.861972E-05	"
"3.283247E-05	79608",,,,"4.100895E-05	80808","4.100895E-05	"
"3.485837E-05	79908",,,,"4.277863E-05	81108","4.277863E-05	"
"3.672962E-05	80208",,,,"4.480553E-05	81408","4.480553E-05	"
"3.861972E-05	80508",,,,"4.685171E-05	81708","4.685171E-05	"
"4.100895E-05	80808",,,,"4.850684E-05	82008","4.850684E-05	"
"4.277863E-05	81108",,,,"5.149395E-05	82308","5.149395E-05	"
"4.480553E-05	81408",,,,"5.256925E-05	82608","5.256925E-05	"
"4.685171E-05	81708",,,,"5.472816E-05	82908","5.472816E-05	"
"4.850684E-05	82008",,,,"5.689715E-05	83208","5.689715E-05	"
"5.149395E-05	82308",,,,,
"5.256925E-05	82608",,,,,
"5.472816E-05	82908",,,,,
"5.689715E-05	83208",,,,,
